post_id,platform,content_type,topic,language,region,post_datetime,hashtags,sentiment_score,views,likes,comments,shares,engagement_rate,is_viral
658,LinkedIn,poll,Food,UR,IN,2025-04-29 14:36:00,#FoodBlog #MustTry #Recipe #Foodie #Cooking #Food,0.51,10384,187,72,28,0.0279,0
659,LinkedIn,video,Health,UR,CA,2025-11-12 14:10:00,#Fitness #Nutrition #MentalHealth,0.93,19905,1885,725,290,0.1457,1
660,LinkedIn,image,Food,HI,BR,2025-12-08 09:35:00,#Foodie #Food #FoodBlog #Cooking #Recipe #MustTry,0.89,25218,837,322,128,0.0511,0
661,LinkedIn,poll,Health,JA,AU,2025-03-06 09:45:00,#Health #MentalHealth #HealthTips #Wellness #Fitness #Nutrition,0.3,48948,3012,1158,463,0.0947,1
662,LinkedIn,image,Entertainment,FR,IN,2025-06-17 14:29:00,#MovieTime #Funny #Entertainment #Trending #ShowBiz #Viral #FollowForMore,-0.29,21809,505,194,77,0.0356,0
663,LinkedIn,poll,Technology,EN,BR,2025-03-12 10:12:00,#TechTrends #MachineLearning #Programming #CodingLife #DataScience,0.48,42600,3407,1310,524,0.1231,1
664,LinkedIn,poll,Business,EN,FR,2025-02-04 10:11:00,#CareerGrowth #StartupLife #Hustle,0.54,23852,1232,474,189,0.0795,0
665,LinkedIn,video,Lifestyle,FR,UK,2025-12-09 15:22:00,#Positivity #Motivation #Lifestyle #MindfulLiving #Wellness #DailyLife,0.67,17213,1158,445,178,0.1036,1
666,LinkedIn,article,Sports,JA,DE,2025-12-05 15:08:00,#Training #Basketball #Cricket #Workout #Football #Sports,0.56,15097,1248,480,192,0.1273,1
667,LinkedIn,carousel,Technology,DE,UK,2025-12-12 15:27:00,#DataScience #AI #Programming #TechTrends #Innovation #CodingLife,0.89,21218,1131,435,174,0.0821,1
668,LinkedIn,video,Food,ES,AU,2025-04-16 03:39:00,#Foodie #FoodBlog #Food #Cooking #Recipe,-0.15,47185,1561,600,240,0.0509,0
669,LinkedIn,image,Fashion,HI,US,2025-09-23 10:53:00,#TrendingStyle #Style #OOTD #Fashion #FashionTips #Lookbook,0.73,17299,1562,601,240,0.139,1
670,LinkedIn,article,Technology,HI,AU,2025-07-23 01:18:00,#AI #MachineLearning #CodingLife #Programming #Innovation,0.21,25763,1522,585,234,0.0909,1
671,LinkedIn,video,Lifestyle,HI,IN,2025-02-07 15:00:00,#Wellness #MindfulLiving #DailyLife #Lifestyle #Positivity #Motivation,0.23,22215,964,371,148,0.0668,0
672,LinkedIn,article,Lifestyle,UR,JP,2025-04-14 15:18:00,#Lifestyle #DailyLife #Positivity #Motivation #Wellness #MindfulLiving,0.82,34200,1231,473,189,0.0554,0
673,LinkedIn,article,Travel,PT,DE,2025-10-07 14:36:00,#Tourism #Adventure #Journey,0.74,43127,1748,672,269,0.0624,0
674,LinkedIn,video,Entertainment,HI,AU,2025-03-28 15:15:00,#Viral #FollowForMore #Funny,0.06,38135,2423,932,372,0.0978,1
675,LinkedIn,article,Travel,UR,FR,2025-06-09 04:20:00,#ExploreMore #Journey #Tourism #Travel #Adventure #Wanderlust,0.2,36755,1771,681,272,0.0742,0
676,LinkedIn,video,Education,JA,JP,2025-09-21 09:27:00,#Learning #StudyTips #Education #Certification #Knowledge #AcademicSuccess,0.66,8449,156,60,24,0.0286,0
677,LinkedIn,carousel,Travel,ES,AU,2025-09-07 15:00:00,#Travel #Tourism #Wanderlust #ExploreMore #Adventure,0.77,25355,1549,596,238,0.094,1
678,LinkedIn,video,Sports,UR,AU,2025-12-17 14:38:00,#Basketball #Training #Fitness #Football #Workout,0.23,9869,249,96,38,0.0389,0
679,LinkedIn,carousel,Technology,DE,FR,2025-04-02 09:19:00,#MachineLearning #Programming #AI #TechTrends #CodingLife #Innovation #DataScience,0.76,5375,235,90,36,0.0676,0
680,LinkedIn,poll,Business,DE,US,2025-04-09 15:46:00,#StartupLife #Leadership #CareerGrowth #Entrepreneur #BusinessTips,0.49,48884,1517,583,233,0.0478,0
681,LinkedIn,video,Lifestyle,HI,MX,2025-09-25 15:36:00,#Wellness #Motivation #Positivity #Lifestyle #MindfulLiving #DailyLife,0.29,6985,557,214,85,0.1228,1
682,LinkedIn,poll,Sports,ES,MX,2025-09-01 10:57:00,#Fitness #Cricket #Basketball,0.68,20828,1141,439,175,0.0843,1
683,LinkedIn,article,Business,PT,FR,2025-07-17 11:53:00,#StartupLife #Leadership #BusinessTips #Hustle #CareerGrowth #Entrepreneur,-0.25,47618,981,377,151,0.0317,0
684,LinkedIn,carousel,Fashion,JA,JP,2025-12-22 21:35:00,#Lookbook #OOTD #Style #Fashion #TrendingStyle #FashionTips,-0.03,28792,767,295,118,0.041,0
685,LinkedIn,poll,Business,PT,DE,2025-04-02 00:28:00,#Leadership #Entrepreneur #BusinessTips #StartupLife #Hustle,0.95,17630,1034,398,159,0.0903,1
686,LinkedIn,article,Food,UR,US,2025-11-28 15:02:00,#MustTry #Cooking #FoodBlog #Recipe #Food #Foodie,0.26,40816,2379,915,366,0.0897,1
687,LinkedIn,carousel,Sports,JA,AU,2025-02-23 09:57:00,#Fitness #Workout #Training #Cricket #Sports #Basketball #Football,0.78,5084,209,80,32,0.0635,0
688,LinkedIn,poll,Lifestyle,FR,CA,2025-01-09 14:10:00,#MindfulLiving #Motivation #Lifestyle #Wellness #DailyLife #Positivity,0.13,5256,139,53,21,0.0408,0
689,LinkedIn,poll,Sports,UR,IN,2025-03-30 14:12:00,#Cricket #Basketball #Fitness #Sports #Training #Football #Workout,0.68,46632,1043,401,160,0.0344,0
690,LinkedIn,carousel,Entertainment,HI,IN,2025-04-04 05:37:00,#Entertainment #Viral #ShowBiz #MovieTime #Trending #FollowForMore #Funny,0.83,17169,707,272,108,0.0634,0
691,LinkedIn,video,Sports,UR,US,2025-07-14 05:08:00,#Football #Basketball #Fitness #Cricket #Workout #Sports #Training,-0.77,29809,691,266,106,0.0357,0
692,LinkedIn,carousel,Education,DE,DE,2025-11-25 10:53:00,#StudyTips #Education #AcademicSuccess #Knowledge #Certification #Learning,0.81,19919,655,252,100,0.0506,0
693,LinkedIn,poll,Fashion,UR,IN,2025-09-20 08:29:00,#Fashion #Lookbook #Style #TrendingStyle #FashionTips,0.59,37947,1677,645,258,0.068,0
694,LinkedIn,poll,Technology,DE,IN,2025-11-19 09:26:00,#DataScience #Programming #AI #MachineLearning #TechTrends #CodingLife,0.73,2425,122,47,18,0.0779,0
695,LinkedIn,poll,Travel,PT,FR,2025-08-31 08:23:00,#Wanderlust #Tourism #ExploreMore #Adventure #Travel #Journey,0.25,34224,735,283,113,0.0331,0
696,LinkedIn,carousel,Lifestyle,PT,CA,2025-01-15 10:56:00,#MindfulLiving #Wellness #DailyLife #Motivation #Lifestyle #Positivity,0.87,4525,433,166,66,0.1476,1
697,LinkedIn,image,Sports,DE,JP,2025-07-22 09:09:00,#Fitness #Football #Workout #Sports,0.91,29609,710,273,109,0.0369,0
698,LinkedIn,video,Sports,DE,US,2025-09-02 09:35:00,#Basketball #Workout #Fitness #Training #Football #Cricket #Sports,0.18,7279,292,112,45,0.0619,0
699,LinkedIn,image,Sports,PT,DE,2025-05-25 23:27:00,#Basketball #Cricket #Sports #Football #Fitness #Workout #Training,-0.11,16411,586,225,90,0.055,0
700,LinkedIn,image,Fashion,EN,CA,2025-11-03 02:14:00,#TrendingStyle #Style #Fashion #Lookbook,0.46,26170,1652,635,254,0.0972,1
701,LinkedIn,carousel,Sports,UR,UK,2025-07-18 15:16:00,#Fitness #Training #Basketball #Sports #Workout #Cricket,0.84,43983,3802,1462,585,0.133,1
702,LinkedIn,article,Sports,DE,MX,2025-10-22 15:31:00,#Workout #Basketball #Training #Sports #Fitness #Football #Cricket,-0.14,30508,1333,512,205,0.0673,0
703,LinkedIn,carousel,Education,DE,IN,2025-04-02 17:24:00,#Learning #Education #Certification #AcademicSuccess #Knowledge #StudyTips,0.77,30818,1565,602,240,0.0782,0
704,LinkedIn,carousel,Lifestyle,EN,IN,2025-09-08 09:43:00,#Motivation #Positivity #MindfulLiving #Wellness #DailyLife,-0.19,18513,429,165,66,0.0357,0
705,LinkedIn,image,Health,EN,JP,2025-06-16 09:07:00,#Nutrition #Health #MentalHealth #HealthTips #Fitness,0.46,48630,1239,476,190,0.0392,0
706,LinkedIn,carousel,Health,UR,DE,2025-08-23 07:57:00,#HealthTips #Nutrition #MentalHealth #Health #Fitness #Wellness,0.49,48435,3025,1163,465,0.0961,1
707,LinkedIn,article,Health,HI,DE,2025-11-23 13:01:00,#Nutrition #Fitness #Health #Wellness,-0.29,38414,1050,404,161,0.0421,0
708,LinkedIn,image,Food,FR,US,2025-07-11 10:17:00,#MustTry #Foodie #Cooking #Recipe #Food #FoodBlog,-0.39,18870,221,85,34,0.0181,0
709,LinkedIn,video,Technology,PT,MX,2025-05-21 14:14:00,#AI #CodingLife #DataScience #MachineLearning,0.57,47663,2936,1129,451,0.0948,1
710,LinkedIn,carousel,Food,PT,CA,2025-06-18 15:00:00,#Cooking #MustTry #FoodBlog #Foodie #Food,0.85,14804,884,340,136,0.0919,1
711,LinkedIn,video,Health,UR,FR,2025-01-17 18:40:00,#HealthTips #Fitness #Health #MentalHealth #Wellness #Nutrition,0.59,45204,2307,887,355,0.0786,0
712,LinkedIn,video,Food,ES,CA,2025-06-30 15:48:00,#FoodBlog #Recipe #Foodie #MustTry #Food,0.97,9093,226,87,34,0.0383,0
713,LinkedIn,video,Business,HI,CA,2025-05-29 10:25:00,#CareerGrowth #StartupLife #Entrepreneur #Hustle #Leadership #BusinessTips,0.12,44531,3252,1251,500,0.1124,1
714,LinkedIn,image,Fashion,PT,BR,2025-07-26 15:52:00,#Style #Lookbook #TrendingStyle #FashionTips #Fashion #OOTD,0.13,45784,3423,1316,526,0.115,1
715,LinkedIn,carousel,Food,PT,FR,2025-07-30 09:14:00,#FoodBlog #MustTry #Food #Cooking,0.65,2496,101,39,15,0.0627,0
716,LinkedIn,video,Sports,JA,IN,2025-07-09 15:32:00,#Training #Fitness #Basketball #Football,-0.08,31944,2304,886,354,0.111,1
717,LinkedIn,video,Education,ES,UK,2025-02-03 06:29:00,#Education #AcademicSuccess #StudyTips #Learning #Knowledge #Certification,0.47,40584,3123,1201,480,0.1184,1
718,LinkedIn,video,Business,JA,IN,2025-01-04 21:26:00,#CareerGrowth #Hustle #BusinessTips #Entrepreneur #StartupLife #Leadership,0.1,36007,2204,848,339,0.0942,1
719,LinkedIn,carousel,Travel,EN,UK,2025-07-23 23:02:00,#Tourism #ExploreMore #Journey #Adventure #Travel,0.91,38998,3076,1183,473,0.1214,1
720,LinkedIn,article,Sports,DE,FR,2025-12-03 10:13:00,#Sports #Football #Training #Basketball #Workout,0.55,18039,740,284,113,0.0632,0
721,LinkedIn,carousel,Education,JA,UK,2025-10-18 09:09:00,#Knowledge #Learning #Education #StudyTips #Certification #AcademicSuccess,0.83,38200,2585,994,397,0.1042,1
722,LinkedIn,carousel,Travel,UR,MX,2025-12-22 14:16:00,#Adventure #Travel #Journey #Wanderlust #Tourism #ExploreMore,0.56,48260,2596,998,399,0.0828,1
723,LinkedIn,poll,Health,JA,CA,2025-03-29 20:37:00,#Fitness #HealthTips #Nutrition #Wellness #MentalHealth #Health,0.04,32719,2360,908,363,0.111,1
724,LinkedIn,article,Entertainment,DE,BR,2025-06-08 10:38:00,#ShowBiz #Entertainment #Viral #Trending #Funny #FollowForMore #MovieTime,0.22,35348,2689,1034,413,0.1171,1
725,LinkedIn,video,Education,EN,FR,2025-11-17 14:04:00,#AcademicSuccess #Certification #Learning #StudyTips #Education,0.55,17781,1342,516,206,0.1162,1
726,LinkedIn,video,Business,FR,JP,2025-04-01 14:17:00,#Hustle #Entrepreneur #BusinessTips,-0.88,20841,260,100,40,0.0192,0
727,LinkedIn,video,Business,JA,JP,2025-02-20 09:50:00,#BusinessTips #Entrepreneur #CareerGrowth #Hustle #Leadership #StartupLife,0.46,39625,1216,467,187,0.0472,0
728,LinkedIn,carousel,Lifestyle,EN,CA,2025-08-09 03:56:00,#MindfulLiving #DailyLife #Positivity #Lifestyle #Wellness #Motivation,0.7,12569,521,200,80,0.064,0
729,LinkedIn,carousel,Fashion,UR,UK,2025-05-16 07:17:00,#FashionTips #Lookbook #OOTD #TrendingStyle #Style #Fashion,-0.15,32954,421,162,64,0.0197,0
730,LinkedIn,poll,Travel,JA,MX,2025-04-02 15:19:00,#Tourism #Wanderlust #Adventure,0.47,16191,495,190,76,0.0471,0
731,LinkedIn,poll,Lifestyle,DE,AU,2025-08-30 14:13:00,#MindfulLiving #DailyLife #Motivation #Lifestyle #Positivity #Wellness,0.23,40985,2456,944,377,0.0922,1
732,LinkedIn,image,Fashion,JA,CA,2025-08-02 08:59:00,#TrendingStyle #OOTD #FashionTips #Fashion #Style,0.61,49838,1974,759,303,0.061,0
733,LinkedIn,image,Health,PT,FR,2025-01-03 12:26:00,#Nutrition #Wellness #MentalHealth #HealthTips #Health,-0.1,44388,2564,986,394,0.0889,1
734,LinkedIn,image,Education,EN,DE,2025-08-07 10:35:00,#Education #Certification #StudyTips #AcademicSuccess #Learning #Knowledge,0.6,32436,2839,1092,436,0.1347,1
735,LinkedIn,poll,Travel,EN,FR,2025-12-19 22:15:00,#ExploreMore #Journey #Tourism #Travel #Wanderlust,0.61,36251,1587,610,244,0.0674,0
736,LinkedIn,image,Entertainment,JA,MX,2025-02-07 15:55:00,#Funny #Trending #ShowBiz #Viral,0.66,22485,1352,520,208,0.0926,1
737,LinkedIn,image,Fashion,UR,US,2025-03-13 02:50:00,#Lookbook #OOTD #FashionTips #Style #Fashion #TrendingStyle,0.54,24737,995,383,153,0.0619,0
738,LinkedIn,image,Lifestyle,EN,MX,2025-03-03 13:51:00,#Lifestyle #Wellness #MindfulLiving #Motivation #DailyLife #Positivity,1,34044,3086,1187,474,0.1395,1
739,LinkedIn,image,Fashion,JA,UK,2025-10-22 09:04:00,#Fashion #FashionTips #Lookbook #OOTD #TrendingStyle #Style,0.68,43609,4070,1565,626,0.1436,1
740,LinkedIn,article,Health,UR,JP,2025-08-20 23:41:00,#Health #Wellness #Fitness #HealthTips #MentalHealth,0,20255,271,104,41,0.0206,0
741,LinkedIn,carousel,Technology,EN,BR,2025-06-15 14:37:00,#Programming #DataScience #Innovation #TechTrends #CodingLife #AI #MachineLearning,0.16,38804,931,358,143,0.037,0
742,LinkedIn,video,Business,UR,MX,2025-02-21 09:34:00,#BusinessTips #StartupLife #Leadership #Hustle #CareerGrowth,0.5,18765,607,233,93,0.0498,0
743,LinkedIn,video,Education,EN,MX,2025-08-14 15:28:00,#Certification #Education #StudyTips #Learning #AcademicSuccess #Knowledge,0.52,25936,1539,592,236,0.0913,1
744,LinkedIn,article,Entertainment,ES,AU,2025-10-24 03:48:00,#Entertainment #FollowForMore #Funny #Trending,-0.04,13516,355,136,54,0.0405,0
745,LinkedIn,article,Fashion,DE,JP,2025-05-11 15:00:00,#TrendingStyle #Lookbook #Fashion #Style #OOTD #FashionTips,0.02,43729,1431,550,220,0.0504,0
746,LinkedIn,article,Health,JA,US,2025-05-21 10:09:00,#Wellness #HealthTips #Health #MentalHealth,0.48,31789,2274,874,349,0.1101,1
747,LinkedIn,article,Food,FR,UK,2025-07-10 05:11:00,#FoodBlog #Foodie #MustTry #Recipe,-0.15,11641,165,63,25,0.022,0
748,LinkedIn,video,Lifestyle,PT,DE,2025-05-16 00:01:00,#Lifestyle #Positivity #MindfulLiving #Motivation #Wellness,-0.96,25709,1144,440,176,0.0685,0
749,LinkedIn,poll,Sports,ES,IN,2025-01-08 10:26:00,#Sports #Basketball #Workout,-0.23,36174,1401,539,215,0.0596,0
750,LinkedIn,poll,Technology,UR,JP,2025-08-29 08:20:00,#Innovation #DataScience #Programming #AI #MachineLearning #CodingLife #TechTrends,0.71,10345,347,133,53,0.0516,0
751,LinkedIn,article,Entertainment,PT,UK,2025-11-11 10:11:00,#MovieTime #Trending #ShowBiz #FollowForMore #Funny #Viral #Entertainment,0.62,10517,631,243,97,0.0924,1
752,LinkedIn,article,Health,EN,BR,2025-04-04 09:10:00,#Fitness #Health #MentalHealth #Wellness #Nutrition #HealthTips,0.89,38827,1936,744,297,0.0767,0
753,LinkedIn,video,Travel,UR,AU,2025-08-14 14:49:00,#Wanderlust #Journey #Adventure #Tourism #ExploreMore #Travel,0.03,7324,416,160,64,0.0876,1
754,LinkedIn,image,Fashion,UR,IN,2025-07-07 09:08:00,#Style #TrendingStyle #Fashion,0.83,9277,807,310,124,0.1341,1
755,LinkedIn,image,Travel,PT,AU,2025-02-12 16:25:00,#Adventure #Journey #ExploreMore #Travel #Wanderlust #Tourism,0.87,37889,3291,1266,506,0.1337,1
756,LinkedIn,poll,Technology,DE,AU,2025-04-28 16:23:00,#AI #CodingLife #MachineLearning #Innovation,0.18,10964,556,214,85,0.0781,0
757,LinkedIn,poll,Health,FR,UK,2025-01-26 12:24:00,#MentalHealth #Nutrition #HealthTips #Wellness #Health #Fitness,0.55,37422,2459,946,378,0.1011,1
758,LinkedIn,video,Food,HI,US,2025-07-30 15:48:00,#Recipe #Foodie #MustTry #FoodBlog,0.55,23964,490,188,75,0.0315,0
759,LinkedIn,image,Sports,PT,IN,2025-10-27 04:28:00,#Workout #Football #Training #Sports,0.71,35356,843,324,129,0.0367,0
760,LinkedIn,poll,Travel,FR,JP,2025-06-02 17:39:00,#Adventure #Travel #Wanderlust #Journey #ExploreMore #Tourism,-0.07,42084,1784,686,274,0.0653,0
761,LinkedIn,poll,Sports,JA,UK,2025-04-26 09:38:00,#Training #Football #Fitness #Basketball #Workout #Cricket #Sports,0.46,19363,1492,574,229,0.1186,1
762,LinkedIn,image,Lifestyle,DE,FR,2025-12-08 11:00:00,#MindfulLiving #Positivity #DailyLife,0.53,29427,1918,738,295,0.1003,1
763,LinkedIn,article,Travel,PT,CA,2025-09-23 21:02:00,#Travel #ExploreMore #Journey #Wanderlust #Tourism #Adventure,-0.79,39018,1688,649,259,0.0666,0
764,LinkedIn,poll,Health,PT,US,2025-06-27 14:29:00,#HealthTips #Health #MentalHealth #Fitness #Wellness #Nutrition,0.51,42321,3634,1397,559,0.1321,1
765,LinkedIn,article,Lifestyle,PT,US,2025-08-22 08:52:00,#Motivation #MindfulLiving #DailyLife #Positivity #Wellness #Lifestyle,0.82,42602,1597,614,245,0.0577,0
766,LinkedIn,video,Business,DE,FR,2025-06-28 05:31:00,#StartupLife #Hustle #Entrepreneur,0.58,48313,1070,411,164,0.0341,0
767,LinkedIn,carousel,Education,JA,MX,2025-07-15 15:21:00,#Knowledge #Education #AcademicSuccess #StudyTips #Learning #Certification,0.59,34169,2353,905,362,0.106,1
768,LinkedIn,poll,Lifestyle,ES,FR,2025-11-13 06:05:00,#Wellness #Positivity #Motivation #Lifestyle #DailyLife #MindfulLiving,0.95,7791,679,261,104,0.1343,1
769,LinkedIn,image,Food,HI,DE,2025-04-26 09:35:00,#MustTry #Cooking #Food #Foodie,0.82,15350,553,212,85,0.0555,0
770,LinkedIn,video,Travel,FR,MX,2025-01-07 09:30:00,#Tourism #ExploreMore #Adventure #Journey #Travel #Wanderlust,0.93,26369,2075,798,319,0.1211,1
771,LinkedIn,image,Lifestyle,PT,DE,2025-07-06 07:34:00,#Lifestyle #DailyLife #Motivation #Positivity #MindfulLiving,0.09,7332,577,222,88,0.1213,1
772,LinkedIn,poll,Travel,DE,IN,2025-11-06 14:44:00,#ExploreMore #Adventure #Tourism #Journey #Travel #Wanderlust,0.7,29585,615,236,94,0.032,0
773,LinkedIn,video,Technology,JA,AU,2025-11-29 14:55:00,#MachineLearning #AI #DataScience #CodingLife #Innovation #Programming #TechTrends,-0.35,47767,2216,852,341,0.0714,0
774,LinkedIn,carousel,Sports,PT,BR,2025-12-05 14:14:00,#Training #Cricket #Basketball #Fitness #Football #Workout #Sports,-0.95,24484,895,344,137,0.0563,0
775,LinkedIn,article,Food,HI,AU,2025-07-31 23:15:00,#Foodie #MustTry #Food #Cooking #FoodBlog #Recipe,0.46,27447,1571,604,241,0.0881,1
776,LinkedIn,carousel,Health,PT,JP,2025-03-12 05:19:00,#Wellness #MentalHealth #Fitness #Nutrition #Health,0.64,15853,676,260,104,0.0657,0
777,LinkedIn,article,Education,JA,IN,2025-09-26 09:03:00,#Knowledge #Learning #Education #AcademicSuccess #Certification #StudyTips,0.58,38229,2226,856,342,0.0896,1
778,LinkedIn,article,Sports,FR,CA,2025-09-13 10:06:00,#Fitness #Cricket #Football #Training #Basketball #Sports #Workout,0.02,41768,651,250,100,0.024,0
779,LinkedIn,poll,Entertainment,UR,UK,2025-02-25 10:33:00,#Entertainment #FollowForMore #Viral #Funny,-0.17,30797,2143,824,329,0.1071,1
780,LinkedIn,poll,Health,JA,IN,2025-12-09 14:23:00,#Wellness #MentalHealth #Nutrition #HealthTips,0.44,32485,2416,929,371,0.1144,1
781,LinkedIn,poll,Entertainment,HI,DE,2025-09-27 15:41:00,#Trending #ShowBiz #Viral #FollowForMore,-0.05,42047,1685,648,259,0.0617,0
782,LinkedIn,carousel,Health,HI,JP,2025-01-13 14:30:00,#MentalHealth #Fitness #Nutrition #Wellness #Health #HealthTips,0.45,39500,2761,1062,424,0.1076,1
783,LinkedIn,poll,Fashion,ES,DE,2025-01-25 09:24:00,#OOTD #FashionTips #Fashion #Lookbook,0.17,35339,2532,974,389,0.1103,1
784,LinkedIn,poll,Education,EN,BR,2025-02-20 10:45:00,#Learning #Education #StudyTips #Certification #Knowledge,0.63,46179,1128,434,173,0.0376,0
785,LinkedIn,image,Technology,FR,DE,2025-04-01 07:58:00,#AI #MachineLearning #CodingLife #Innovation #DataScience #TechTrends,0.01,38390,2277,876,350,0.0913,1
786,LinkedIn,image,Business,UR,FR,2025-12-20 15:17:00,#CareerGrowth #StartupLife #BusinessTips #Leadership,0.43,30434,734,282,113,0.0371,0
787,LinkedIn,video,Entertainment,HI,IN,2025-03-23 15:11:00,#Trending #Viral #ShowBiz #FollowForMore #MovieTime #Funny #Entertainment,-0.07,8825,333,128,51,0.0582,0
788,LinkedIn,video,Entertainment,JA,BR,2025-03-07 09:30:00,#Entertainment #Viral #ShowBiz,-0.11,46456,2938,1130,452,0.0973,1
789,LinkedIn,video,Health,DE,JP,2025-03-15 09:59:00,#Wellness #Nutrition #Fitness #Health #MentalHealth #HealthTips,0.97,12503,576,221,88,0.071,0
790,LinkedIn,video,Technology,PT,FR,2025-03-20 16:14:00,#CodingLife #MachineLearning #DataScience #TechTrends,0.66,17107,1067,410,164,0.096,1
791,LinkedIn,image,Fashion,ES,MX,2025-10-08 01:43:00,#TrendingStyle #FashionTips #Fashion,0.5,22080,941,362,144,0.0656,0
792,LinkedIn,video,Entertainment,FR,US,2025-07-15 09:49:00,#Entertainment #Viral #ShowBiz #Funny #FollowForMore #MovieTime #Trending,0.77,30469,2706,1041,416,0.1367,1
793,LinkedIn,video,Travel,UR,DE,2025-11-22 10:34:00,#Adventure #Journey #Wanderlust #Tourism #Travel,-0.65,17856,1010,388,155,0.0871,1
794,LinkedIn,image,Technology,PT,UK,2025-03-15 15:56:00,#Programming #MachineLearning #TechTrends #CodingLife #DataScience #Innovation #AI,-0.62,28376,991,381,152,0.0538,0
795,LinkedIn,carousel,Travel,PT,JP,2025-07-06 15:46:00,#Adventure #Journey #ExploreMore #Wanderlust #Travel #Tourism,-0.34,41558,1366,525,210,0.0506,0
796,LinkedIn,carousel,Fashion,PT,DE,2025-11-26 15:30:00,#FashionTips #TrendingStyle #OOTD,-0.14,41867,1595,613,245,0.0586,0
797,LinkedIn,video,Business,DE,AU,2025-03-22 16:11:00,#BusinessTips #Entrepreneur #CareerGrowth #StartupLife #Hustle #Leadership,-0.39,11214,540,208,83,0.0743,0
798,LinkedIn,poll,Business,ES,FR,2025-06-12 10:20:00,#Leadership #Hustle #BusinessTips #StartupLife #CareerGrowth #Entrepreneur,0.41,4457,172,66,26,0.0597,0
799,LinkedIn,article,Education,DE,BR,2025-03-19 09:04:00,#AcademicSuccess #Knowledge #StudyTips #Education #Certification,-0.06,7651,489,188,75,0.0984,1
800,LinkedIn,video,Sports,ES,FR,2025-03-02 15:35:00,#Workout #Basketball #Football #Fitness #Sports #Cricket #Training,0.42,25965,1278,491,196,0.0758,0
801,LinkedIn,carousel,Sports,EN,CA,2025-12-19 11:37:00,#Fitness #Basketball #Sports #Workout #Football #Training #Cricket,-0.2,5514,126,48,19,0.0355,0
802,LinkedIn,poll,Lifestyle,PT,MX,2025-02-26 21:40:00,#Motivation #Lifestyle #MindfulLiving #Positivity #DailyLife,0.93,28376,2811,1081,432,0.1524,1
803,LinkedIn,image,Lifestyle,FR,AU,2025-05-24 00:20:00,#Lifestyle #DailyLife #Motivation #Wellness,0.66,3651,133,51,20,0.0566,0
804,LinkedIn,carousel,Entertainment,DE,AU,2025-01-17 09:36:00,#Trending #FollowForMore #Viral,-0.66,3358,156,60,24,0.0718,0
805,LinkedIn,image,Health,DE,DE,2025-09-20 13:45:00,#Wellness #Fitness #HealthTips #MentalHealth #Health,0.56,30482,2588,995,398,0.1307,1
806,LinkedIn,article,Education,HI,US,2025-03-07 03:04:00,#Knowledge #Learning #Education #Certification,0.19,5942,85,32,13,0.0222,0
807,LinkedIn,article,Education,HI,MX,2025-10-26 14:55:00,#Certification #Learning #AcademicSuccess #StudyTips #Knowledge,0.85,6318,198,76,30,0.0484,0
808,LinkedIn,article,Technology,PT,BR,2025-04-18 09:20:00,#Innovation #MachineLearning #TechTrends #CodingLife #DataScience #Programming #AI,0.84,39784,3447,1326,530,0.1333,1
809,LinkedIn,article,Travel,ES,AU,2025-01-04 10:09:00,#ExploreMore #Adventure #Travel #Wanderlust #Tourism #Journey,0.59,15923,441,169,67,0.0427,0
810,LinkedIn,poll,Lifestyle,PT,AU,2025-11-24 15:52:00,#MindfulLiving #DailyLife #Lifestyle #Motivation #Wellness,0.5,5038,98,38,15,0.0302,0
811,LinkedIn,image,Technology,PT,IN,2025-12-12 22:00:00,#CodingLife #AI #DataScience #Innovation #TechTrends #Programming #MachineLearning,-0.04,24469,1480,569,227,0.0931,1
812,LinkedIn,carousel,Education,JA,UK,2025-09-08 10:37:00,#Learning #Knowledge #StudyTips #Education,-0.04,27426,1168,449,179,0.0656,0
813,LinkedIn,carousel,Travel,ES,MX,2025-07-17 09:50:00,#Tourism #Adventure #Journey #ExploreMore #Travel,0.89,12323,356,137,54,0.0445,0
814,LinkedIn,video,Business,HI,US,2025-07-20 14:12:00,#CareerGrowth #Hustle #Entrepreneur,0.97,37000,1482,570,228,0.0617,0
815,LinkedIn,video,Travel,JA,FR,2025-08-11 05:42:00,#Wanderlust #Travel #ExploreMore,-0.36,40833,1158,445,178,0.0436,0
816,LinkedIn,video,Fashion,JA,BR,2025-08-02 14:10:00,#Lookbook #OOTD #TrendingStyle #FashionTips #Fashion,0.72,23354,1706,656,262,0.1125,1
817,LinkedIn,video,Education,JA,IN,2025-01-10 15:13:00,#Certification #Education #Knowledge #StudyTips #AcademicSuccess,0.08,38828,2568,987,395,0.1018,1
818,LinkedIn,video,Sports,DE,CA,2025-04-28 19:52:00,#Basketball #Cricket #Training #Sports,0.93,26175,2067,795,318,0.1215,1
819,LinkedIn,poll,Education,HI,AU,2025-09-09 14:28:00,#Education #Knowledge #Certification #StudyTips #Learning #AcademicSuccess,0.78,22444,1001,385,154,0.0686,0
820,LinkedIn,poll,Travel,ES,UK,2025-06-13 14:56:00,#Adventure #Journey #Travel #ExploreMore #Tourism #Wanderlust,0.7,17267,1344,517,206,0.1199,1
821,LinkedIn,carousel,Technology,UR,UK,2025-04-15 09:41:00,#Programming #TechTrends #AI #DataScience #MachineLearning #Innovation #CodingLife,0.73,39918,2037,783,313,0.0785,0
